	antecedents	consequents	antecedent support	consequent support	support	confidence	lift	leverage	conviction	dataset	prior	confidence+prior
12312	well,	QNLI.entailment	3402.0	48224.0	2187.0	0.643	1.287	0.005	1.401	QNLI	0.5	64.3 (50.0)
11531	likewise,	SST-2.positive	67.0	33784.0	43.0	0.642	1.151	0.0	1.236	SST-2	0.557	64.2 (55.7)
11532	particularly,	SST-2.positive	106.0	33784.0	68.0	0.642	1.151	0.0	1.235	SST-2	0.557	64.2 (55.7)
22	specifically,	PDTB.Expansion	209.0	7633.0	134.0	0.641	1.577	0.003	1.653	PDTB	0.234	64.1 (23.4)
7470	truthfully,	EmoBankDominance.low	39.0	4411.0	25.0	0.641	1.045	0.0	1.077	EmoBankD	0.613	64.1 (61.3)
11496	initially,	SST-2.negative	39.0	26831.0	25.0	0.641	1.448	0.0	1.553	SST-2	0.443	64.1 (44.3)
6402	indeed,	EmoBankValence.low	39.0	3293.0	25.0	0.641	1.128	0.0	1.202	EmoBankV	0.568	64.1 (56.8)
10466	otherwise,	MNLI.contradiction	1980.0	134101.0	1269.0	0.641	1.924	0.002	1.857	MNLI	0.333	64.1 (33.3)
14131	in_turn,	SICKE.entailment	50.0	1443.0	32.0	0.64	2.218	0.004	1.976	SICKE	0.289	64.0 (28.9)
12102	meaning,	QQP.not-duplicate	13590.0	206126.0	8697.0	0.64	1.015	0.0	1.026	QQP	0.631	64.0 (63.1)
12103	in_other_words	QQP.not-duplicate	25053.0	206126.0	16023.0	0.64	1.014	0.001	1.025	QQP	0.631	64.0 (63.1)
6876	locally,	EmoBankArousal.low	86.0	3169.0	55.0	0.64	1.242	0.002	1.346	EmoBankA	0.515	64.0 (51.5)
12313	importantly,	QNLI.not_entailment	133.0	48313.0	85.0	0.639	1.277	0.0	1.384	QNLI	0.5	63.9 (50.0)
7476	admittedly,	EmoBankDominance.low	36.0	4411.0	23.0	0.639	1.041	0.0	1.07	EmoBankD	0.613	63.9 (61.3)
10422	nevertheless	Cola.well-formed	36.0	6744.0	23.0	0.639	0.909	-0.0	0.823	Cola	0.703	63.9 (70.3)
3448	for_instance	SwitchBoard.Yes-No-Question	36.0	2932.0	23.0	0.639	4.585	0.001	2.383	SwitchBoard	0.145	63.9 (14.5)
11534	yet,	SST-2.positive	407.0	33784.0	260.0	0.639	1.146	0.001	1.226	SST-2	0.557	63.9 (55.7)
12314	separately,	QNLI.not_entailment	401.0	48313.0	256.0	0.638	1.276	0.001	1.381	QNLI	0.5	63.8 (50.0)
8388	actually,	Sarcasm.notsarcasm	127.0	2116.0	81.0	0.638	1.273	0.004	1.377	Sarcasm	0.501	63.8 (50.1)
11535	thereby,	SST-2.positive	146.0	33784.0	93.0	0.637	1.143	0.0	1.219	SST-2	0.557	63.7 (55.7)
6868	only,	EmoBankArousal.high	33.0	2985.0	21.0	0.636	1.312	0.001	1.416	EmoBankA	0.485	63.6 (48.5)
4571	meanwhile,	Emergent.for	44.0	1108.0	28.0	0.636	1.341	0.003	1.445	Emergent	0.475	63.6 (47.5)
10423	only,	Cola.well-formed	165.0	6744.0	105.0	0.636	0.905	-0.001	0.817	Cola	0.703	63.6 (70.3)
13947	although,	CR.positive	44.0	2151.0	28.0	0.636	1.004	0.0	1.006	CR	0.634	63.6 (63.4)
7477	already,	EmoBankDominance.low	44.0	4411.0	28.0	0.636	1.037	0.0	1.063	EmoBankD	0.613	63.6 (61.3)
1138	additionally	PDTB.Conjunction	74.0	3158.0	47.0	0.635	2.838	0.002	2.127	PDTBf	0.097	63.5 (9.7)
11498	in_other_words	SST-2.negative	644.0	26831.0	409.0	0.635	1.435	0.002	1.527	SST-2	0.443	63.5 (44.3)
11499	evidently,	SST-2.negative	126.0	26831.0	80.0	0.635	1.434	0.0	1.527	SST-2	0.443	63.5 (44.3)
5	currently,	PDTB.Entrel	334.0	4419.0	212.0	0.635	2.696	0.007	2.093	PDTB	0.135	63.5 (13.5)
7479	arguably,	EmoBankDominance.low	41.0	4411.0	26.0	0.634	1.034	0.0	1.056	EmoBankD	0.613	63.4 (61.3)
7480	perhaps,	EmoBankDominance.low	71.0	4411.0	45.0	0.634	1.033	0.0	1.055	EmoBankD	0.613	63.4 (61.3)
12317	especially,	QNLI.not_entailment	60.0	48313.0	38.0	0.633	1.265	0.0	1.362	QNLI	0.5	63.3 (50.0)
10424	really,	Cola.well-formed	60.0	6744.0	38.0	0.633	0.901	-0.0	0.81	Cola	0.703	63.3 (70.3)
7481	by_contrast,	EmoBankDominance.low	49.0	4411.0	31.0	0.633	1.031	0.0	1.052	EmoBankD	0.613	63.3 (61.3)
11538	gradually,	SST-2.positive	117.0	33784.0	74.0	0.632	1.135	0.0	1.204	SST-2	0.557	63.2 (55.7)
12318	ironically,	QNLI.not_entailment	389.0	48313.0	246.0	0.632	1.264	0.001	1.359	QNLI	0.5	63.2 (50.0)
11500	by_comparison,	SST-2.negative	87.0	26831.0	55.0	0.632	1.428	0.0	1.515	SST-2	0.443	63.2 (44.3)
11539	absolutely,	SST-2.positive	1767.0	33784.0	1117.0	0.632	1.134	0.002	1.203	SST-2	0.557	63.2 (55.7)
12319	occasionally,	QNLI.not_entailment	106.0	48313.0	67.0	0.632	1.263	0.0	1.358	QNLI	0.5	63.2 (50.0)
7483	really,	EmoBankDominance.low	65.0	4411.0	41.0	0.631	1.028	0.0	1.047	EmoBankD	0.613	63.1 (61.3)
10427	luckily,	Cola.well-formed	65.0	6744.0	41.0	0.631	0.897	-0.0	0.805	Cola	0.703	63.1 (70.3)
11501	probably,	SST-2.negative	390.0	26831.0	246.0	0.631	1.425	0.001	1.509	SST-2	0.443	63.1 (44.3)
10467	likewise,	MNLI.entailment	3856.0	134364.0	2430.0	0.63	1.888	0.003	1.801	MNLI	0.334	63.0 (33.4)
11540	simultaneously	SST-2.positive	4304.0	33784.0	2712.0	0.63	1.131	0.005	1.197	SST-2	0.557	63.0 (55.7)
8144	especially,	PersuasivenessRelevance.high	54.0	489.0	34.0	0.63	1.051	0.002	1.082	PersuasivenessRelevance	0.599	63.0 (59.9)
11502	in_the_end,	SST-2.negative	178.0	26831.0	112.0	0.629	1.421	0.001	1.503	SST-2	0.443	62.9 (44.3)
6407	meanwhile,	EmoBankValence.low	62.0	3293.0	39.0	0.629	1.107	0.001	1.164	EmoBankV	0.568	62.9 (56.8)
12174	historically,	QQP.not-duplicate	629.0	206126.0	395.0	0.628	0.996	-0.0	0.993	QQP	0.631	62.8 (63.1)
12320	originally,	QNLI.entailment	6385.0	48224.0	4006.0	0.627	1.256	0.008	1.343	QNLI	0.5	62.7 (50.0)
12175	obviously,	QQP.not-duplicate	67.0	206126.0	42.0	0.627	0.994	-0.0	0.99	QQP	0.631	62.7 (63.1)
10468	alternatively	MNLI.entailment	2135.0	134364.0	1338.0	0.627	1.877	0.002	1.784	MNLI	0.334	62.7 (33.4)
13887	also,	CR.negative	75.0	1241.0	47.0	0.627	1.713	0.006	1.699	CR	0.366	62.7 (36.6)
10469	oddly,	MNLI.contradiction	877.0	134101.0	549.0	0.626	1.879	0.001	1.783	MNLI	0.333	62.6 (33.3)
10470	alternately,	MNLI.entailment	941.0	134364.0	589.0	0.626	1.875	0.001	1.781	MNLI	0.334	62.6 (33.4)
8389	surely,	Sarcasm.sarcasm	64.0	2107.0	40.0	0.625	1.253	0.002	1.336	Sarcasm	0.499	62.5 (49.9)
8390	really,	Sarcasm.sarcasm	104.0	2107.0	65.0	0.625	1.253	0.003	1.336	Sarcasm	0.499	62.5 (49.9)
6881	coincidentally,	EmoBankArousal.low	32.0	3169.0	20.0	0.625	1.214	0.001	1.293	EmoBankA	0.515	62.5 (51.5)
7372	together,	EmoBankDominance.high	32.0	2779.0	20.0	0.625	1.617	0.001	1.636	EmoBankD	0.387	62.5 (38.7)
12181	and	QQP.not-duplicate	8477.0	206126.0	5296.0	0.625	0.991	-0.0	0.984	QQP	0.631	62.5 (63.1)
7373	absolutely,	EmoBankDominance.high	109.0	2779.0	68.0	0.624	1.614	0.004	1.631	EmoBankD	0.387	62.4 (38.7)
2506	mostly,	MRDA.Defending/Explanation	183.0	1600.0	114.0	0.623	6.274	0.006	2.389	MRDA	0.109	62.3 (10.9)
5190	although,	Verifiability.unverifiable	61.0	4459.0	38.0	0.623	0.887	-0.001	0.789	Verifiability	0.703	62.3 (70.3)
14366	yet,	SUBJ.subjective	265.0	4514.0	165.0	0.623	1.241	0.004	1.321	SUBJ	0.502	62.3 (50.2)
11542	specifically,	SST-2.positive	45.0	33784.0	28.0	0.622	1.116	0.0	1.172	SST-2	0.557	62.2 (55.7)
12323	usually,	QNLI.not_entailment	185.0	48313.0	115.0	0.622	1.242	0.0	1.32	QNLI	0.5	62.2 (50.0)
10428	gradually,	Cola.well-formed	37.0	6744.0	23.0	0.622	0.884	-0.0	0.785	Cola	0.703	62.2 (70.3)
5954	well,	Implicature.high	37.0	1958.0	23.0	0.622	1.33	0.001	1.408	Implicature	0.467	62.2 (46.7)
5953	unsurprisingly,	Implicature.high	37.0	1958.0	23.0	0.622	1.33	0.001	1.408	Implicature	0.467	62.2 (46.7)
31	in_fact,	PDTB.Expansion	190.0	7633.0	118.0	0.621	1.527	0.002	1.566	PDTB	0.234	62.1 (23.4)
32	or,	PDTB.Expansion	87.0	7633.0	54.0	0.621	1.526	0.001	1.564	PDTB	0.234	62.1 (23.4)
12325	curiously,	QNLI.not_entailment	1107.0	48313.0	687.0	0.621	1.24	0.001	1.317	QNLI	0.5	62.1 (50.0)
11543	traditionally,	SST-2.positive	79.0	33784.0	49.0	0.62	1.113	0.0	1.166	SST-2	0.557	62.0 (55.7)
5191	probably,	Verifiability.unverifiable	205.0	4459.0	127.0	0.62	0.882	-0.003	0.782	Verifiability	0.703	62.0 (70.3)
5957	but	Implicature.high	42.0	1958.0	26.0	0.619	1.324	0.002	1.398	Implicature	0.467	61.9 (46.7)
11508	however	SST-2.negative	202.0	26831.0	125.0	0.619	1.398	0.001	1.462	SST-2	0.443	61.9 (44.3)
7494	instead,	EmoBankDominance.low	55.0	4411.0	34.0	0.618	1.008	0.0	1.012	EmoBankD	0.613	61.8 (61.3)
13478	meanwhile,	STS.dissimilar	136.0	1902.0	84.0	0.618	2.354	0.007	1.929	STS	0.435	61.8 (43.5)
6887	arguably,	EmoBankArousal.low	34.0	3169.0	21.0	0.618	1.199	0.001	1.269	EmoBankA	0.515	61.8 (51.5)
9527	meanwhile,	MRPC.not-paraphrase	34.0	1323.0	21.0	0.618	1.903	0.002	1.766	MRPC	0.325	61.8 (32.5)
12326	immediately,	QNLI.not_entailment	494.0	48313.0	305.0	0.617	1.234	0.001	1.306	QNLI	0.5	61.7 (50.0)
12183	overall,	QQP.not-duplicate	222.0	206126.0	137.0	0.617	0.979	-0.0	0.965	QQP	0.631	61.7 (63.1)
10430	sadly,	Cola.well-formed	47.0	6744.0	29.0	0.617	0.878	-0.0	0.776	Cola	0.703	61.7 (70.3)
12185	clearly,	QQP.not-duplicate	39.0	206126.0	24.0	0.615	0.976	-0.0	0.96	QQP	0.631	61.5 (63.1)
10432	unfortunately,	Cola.well-formed	52.0	6744.0	32.0	0.615	0.875	-0.0	0.772	Cola	0.703	61.5 (70.3)
7501	undoubtedly,	EmoBankDominance.low	52.0	4411.0	32.0	0.615	1.003	0.0	1.005	EmoBankD	0.613	61.5 (61.3)
9673	altogether,	MRPC.paraphrase	78.0	2753.0	48.0	0.615	0.911	-0.001	0.844	MRPC	0.675	61.5 (67.5)
34	additionally	PDTB.Expansion	104.0	7633.0	64.0	0.615	1.513	0.001	1.543	PDTB	0.234	61.5 (23.4)
7502	immediately,	EmoBankDominance.low	117.0	4411.0	72.0	0.615	1.003	0.0	1.005	EmoBankD	0.613	61.5 (61.3)
12327	for_instance	QNLI.not_entailment	192.0	48313.0	118.0	0.615	1.228	0.0	1.296	QNLI	0.5	61.5 (50.0)
11550	lastly,	SST-2.positive	83.0	33784.0	51.0	0.614	1.102	0.0	1.148	SST-2	0.557	61.4 (55.7)
4579	supposedly,	Emergent.for	83.0	1108.0	51.0	0.614	1.295	0.005	1.363	Emergent	0.475	61.4 (47.5)
12328	again,	QNLI.not_entailment	57.0	48313.0	35.0	0.614	1.227	0.0	1.294	QNLI	0.5	61.4 (50.0)
11510	because_of_this	SST-2.negative	456.0	26831.0	280.0	0.614	1.387	0.001	1.444	SST-2	0.443	61.4 (44.3)
1137	but	PDTB.Contrast	145.0	1767.0	89.0	0.614	4.902	0.005	2.265	PDTBf	0.054	61.4 (5.4)
5193	for_example	Verifiability.unverifiable	44.0	4459.0	27.0	0.614	0.873	-0.001	0.77	Verifiability	0.703	61.4 (70.3)
6891	significantly,	EmoBankArousal.low	44.0	3169.0	27.0	0.614	1.192	0.001	1.255	EmoBankA	0.515	61.4 (51.5)
6893	separately,	EmoBankArousal.low	124.0	3169.0	76.0	0.613	1.19	0.002	1.253	EmoBankA	0.515	61.3 (51.5)
14161	similarly,	SICKE.neutral	227.0	2818.0	139.0	0.612	1.086	0.002	1.126	SICKE	0.564	61.2 (56.4)
4580	in_turn,	Emergent.for	49.0	1108.0	30.0	0.612	1.29	0.003	1.355	Emergent	0.475	61.2 (47.5)
6420	well,	EmoBankValence.low	49.0	3293.0	30.0	0.612	1.077	0.0	1.113	EmoBankV	0.568	61.2 (56.8)
35	recently,	PDTB.Expansion	85.0	7633.0	52.0	0.612	1.504	0.001	1.528	PDTB	0.234	61.2 (23.4)
7380	in_sum,	EmoBankDominance.high	36.0	2779.0	22.0	0.611	1.581	0.001	1.578	EmoBankD	0.387	61.1 (38.7)
1143	by_doing_this,	PDTB.Cause	36.0	3745.0	22.0	0.611	2.303	0.001	1.889	PDTBf	0.115	61.1 (11.5)
7797	so,	EmoBankDominance.low	95.0	4411.0	58.0	0.611	0.995	-0.0	0.992	EmoBankD	0.613	61.1 (61.3)
12329	generally,	QNLI.entailment	2402.0	48224.0	1466.0	0.61	1.222	0.003	1.284	QNLI	0.5	61.0 (50.0)
7939	especially,	PersuasivenessSpecificity.high	41.0	260.0	25.0	0.61	1.327	0.011	1.385	PersuasivenessSpecificity	0.459	61.0 (45.9)
6895	indeed,	EmoBankArousal.low	41.0	3169.0	25.0	0.61	1.184	0.001	1.243	EmoBankA	0.515	61.0 (51.5)
6421	elsewhere,	EmoBankValence.low	105.0	3293.0	64.0	0.61	1.072	0.001	1.105	EmoBankV	0.568	61.0 (56.8)
11512	ironically,	SST-2.negative	92.0	26831.0	56.0	0.609	1.375	0.0	1.424	SST-2	0.443	60.9 (44.3)
10434	namely,	Cola.well-formed	51.0	6744.0	31.0	0.608	0.865	-0.001	0.758	Cola	0.703	60.8 (70.3)
5344	coincidentally,	Formality.high	56.0	1964.0	34.0	0.607	1.26	0.002	1.319	Formality	0.482	60.7 (48.2)
12186	generally,	QQP.not-duplicate	33.0	206126.0	20.0	0.606	0.961	-0.0	0.938	QQP	0.631	60.6 (63.1)
6879	absolutely,	EmoBankArousal.high	109.0	2985.0	66.0	0.606	1.248	0.002	1.305	EmoBankA	0.485	60.6 (48.5)
6374	undoubtedly,	EmoBankValence.high	38.0	2501.0	23.0	0.605	1.402	0.001	1.44	EmoBankV	0.432	60.5 (43.2)
12332	in_fact,	QNLI.entailment	43.0	48224.0	26.0	0.605	1.21	0.0	1.266	QNLI	0.5	60.5 (50.0)
11513	realistically,	SST-2.negative	73.0	26831.0	44.0	0.603	1.362	0.0	1.403	SST-2	0.443	60.3 (44.3)
13487	in_turn,	STS.similar	236.0	2467.0	142.0	0.602	1.768	0.009	1.656	STS	0.565	60.2 (56.5)
11514	only,	SST-2.negative	273.0	26831.0	164.0	0.601	1.357	0.001	1.396	SST-2	0.443	60.1 (44.3)
9674	later,	MRPC.paraphrase	100.0	2753.0	60.0	0.6	0.888	-0.002	0.811	MRPC	0.675	60.0 (67.5)
11560	although,	SST-2.positive	45.0	33784.0	27.0	0.6	1.077	0.0	1.107	SST-2	0.557	60.0 (55.7)
14369	remarkably,	SUBJ.subjective	35.0	4514.0	21.0	0.6	1.196	0.0	1.246	SUBJ	0.502	60.0 (50.2)
7805	increasingly,	EmoBankDominance.low	35.0	4411.0	21.0	0.6	0.978	-0.0	0.966	EmoBankD	0.613	60.0 (61.3)
6435	supposedly,	EmoBankValence.low	35.0	3293.0	21.0	0.6	1.056	0.0	1.079	EmoBankV	0.568	60.0 (56.8)
5655	maybe,	Informativeness.low	40.0	2246.0	24.0	0.6	1.118	0.001	1.158	Informativeness	0.537	60.0 (53.7)
5644	perhaps,	Informativeness.high	35.0	1938.0	21.0	0.6	1.295	0.001	1.342	Informativeness	0.463	60.0 (46.3)
6901	here,	EmoBankArousal.low	60.0	3169.0	36.0	0.6	1.165	0.001	1.213	EmoBankA	0.515	60.0 (51.5)
7384	now,	EmoBankDominance.high	40.0	2779.0	24.0	0.6	1.552	0.001	1.534	EmoBankD	0.387	60.0 (38.7)
7810	meanwhile,	EmoBankDominance.low	65.0	4411.0	39.0	0.6	0.978	-0.0	0.966	EmoBankD	0.613	60.0 (61.3)
10471	undoubtedly,	MNLI.neutral	3626.0	134009.0	2170.0	0.598	1.797	0.002	1.661	MNLI	0.333	59.8 (33.3)
11561	on_the_other_hand	SST-2.positive	77.0	33784.0	46.0	0.597	1.072	0.0	1.099	SST-2	0.557	59.7 (55.7)
12723	eventually,	STAC.no_relation	124.0	2543.0	74.0	0.597	2.928	0.004	1.975	STAC	0.213	59.7 (21.3)
14133	alternately,	SICKE.entailment	156.0	1443.0	93.0	0.596	2.066	0.01	1.762	SICKE	0.289	59.6 (28.9)
6886	really,	EmoBankArousal.high	52.0	2985.0	31.0	0.596	1.229	0.001	1.275	EmoBankA	0.485	59.6 (48.5)
14164	simultaneously	SICKE.neutral	871.0	2818.0	519.0	0.596	1.057	0.006	1.08	SICKE	0.564	59.6 (56.4)
8399	though,	Sarcasm.notsarcasm	42.0	2116.0	25.0	0.595	1.188	0.001	1.233	Sarcasm	0.501	59.5 (50.1)
12721	alternately,	STAC.Elaboration	37.0	925.0	22.0	0.595	8.02	0.002	2.284	STAC	0.077	59.5 (7.7)
10436	especially,	Cola.well-formed	37.0	6744.0	22.0	0.595	0.846	-0.0	0.733	Cola	0.703	59.5 (70.3)
11562	maybe,	SST-2.positive	96.0	33784.0	57.0	0.594	1.065	0.0	1.09	SST-2	0.557	59.4 (55.7)
12188	realistically,	QQP.not-duplicate	8931.0	206126.0	5300.0	0.593	0.941	-0.001	0.909	QQP	0.631	59.3 (63.1)
12335	significantly,	QNLI.not_entailment	1242.0	48313.0	737.0	0.593	1.186	0.001	1.229	QNLI	0.5	59.3 (50.0)
43	in_short,	PDTB.Expansion	76.0	7633.0	45.0	0.592	1.456	0.001	1.455	PDTB	0.234	59.2 (23.4)
4568	separately,	Emergent.observing	250.0	864.0	148.0	0.592	1.6	0.024	1.544	Emergent	0.37	59.2 (37.0)
6889	plus,	EmoBankArousal.high	49.0	2985.0	29.0	0.592	1.22	0.001	1.262	EmoBankA	0.485	59.2 (48.5)
12336	mostly,	QNLI.entailment	66.0	48224.0	39.0	0.591	1.183	0.0	1.223	QNLI	0.5	59.1 (50.0)
6439	slowly,	EmoBankValence.low	105.0	3293.0	62.0	0.59	1.039	0.0	1.054	EmoBankV	0.568	59.0 (56.8)
6890	so,	EmoBankArousal.high	83.0	2985.0	49.0	0.59	1.217	0.001	1.257	EmoBankA	0.485	59.0 (48.5)
12337	simultaneously	QNLI.not_entailment	227.0	48313.0	134.0	0.59	1.18	0.0	1.219	QNLI	0.5	59.0 (50.0)
6908	perhaps,	EmoBankArousal.low	61.0	3169.0	36.0	0.59	1.146	0.001	1.184	EmoBankA	0.515	59.0 (51.5)
14078	seriously,	CR.positive	39.0	2151.0	23.0	0.59	0.93	-0.001	0.892	CR	0.634	59.0 (63.4)
45	plus,	PDTB.Expansion	39.0	7633.0	23.0	0.59	1.45	0.0	1.446	PDTB	0.234	59.0 (23.4)
8356	especially,	PersuasivenessStrength.low	39.0	256.0	23.0	0.59	0.961	-0.002	0.941	PersuasivenessStrength	1.0	59.0 (100.0)
14371	rather,	SUBJ.subjective	78.0	4514.0	46.0	0.59	1.176	0.001	1.215	SUBJ	0.502	59.0 (50.2)
46	namely,	PDTB.Expansion	229.0	7633.0	135.0	0.59	1.45	0.002	1.445	PDTB	0.234	59.0 (23.4)
7821	seriously,	EmoBankDominance.low	56.0	4411.0	33.0	0.589	0.961	-0.0	0.941	EmoBankD	0.613	58.9 (61.3)
7822	truly,	EmoBankDominance.low	90.0	4411.0	53.0	0.589	0.96	-0.0	0.94	EmoBankD	0.613	58.9 (61.3)
5349	maybe,	Formality.low	34.0	2111.0	20.0	0.588	1.136	0.001	1.17	Formality	0.518	58.8 (51.8)
5198	this,	Verifiability.unverifiable	51.0	4459.0	30.0	0.588	0.837	-0.001	0.722	Verifiability	0.703	58.8 (70.3)
7388	plus,	EmoBankDominance.high	51.0	2779.0	30.0	0.588	1.522	0.001	1.49	EmoBankD	0.387	58.8 (38.7)
50	on_the_contrary,	PDTB.Expansion	80.0	7633.0	47.0	0.588	1.445	0.001	1.438	PDTB	0.234	58.8 (23.4)
7389	well,	EmoBankDominance.high	63.0	2779.0	37.0	0.587	1.52	0.002	1.487	EmoBankD	0.387	58.7 (38.7)
5992	meanwhile,	Implicature.low	46.0	2231.0	27.0	0.587	1.102	0.001	1.132	Implicature	0.533	58.7 (53.3)
51	locally,	PDTB.Expansion	203.0	7633.0	119.0	0.586	1.442	0.002	1.434	PDTB	0.234	58.6 (23.4)
12339	alternatively	QNLI.not_entailment	58.0	48313.0	34.0	0.586	1.171	0.0	1.207	QNLI	0.5	58.6 (50.0)
8401	again,	Sarcasm.notsarcasm	212.0	2116.0	124.0	0.585	1.167	0.004	1.202	Sarcasm	0.501	58.5 (50.1)
12340	this,	QNLI.not_entailment	65.0	48313.0	38.0	0.585	1.168	0.0	1.203	QNLI	0.5	58.5 (50.0)
9733	incidentally,	RTE.not_entailment	65.0	1371.0	38.0	0.585	1.18	0.002	1.215	RTE	0.496	58.5 (49.6)
10472	apparently,	MNLI.neutral	2641.0	134009.0	1543.0	0.584	1.755	0.002	1.604	MNLI	0.333	58.4 (33.3)
8402	personally,	Sarcasm.notsarcasm	113.0	2116.0	66.0	0.584	1.166	0.002	1.2	Sarcasm	0.501	58.4 (50.1)
10473	instead,	MNLI.contradiction	1456.0	134101.0	850.0	0.584	1.752	0.001	1.602	MNLI	0.333	58.4 (33.3)
12341	currently,	QNLI.entailment	3308.0	48224.0	1931.0	0.584	1.169	0.003	1.202	QNLI	0.5	58.4 (50.0)
14373	by_contrast,	SUBJ.subjective	144.0	4514.0	84.0	0.583	1.163	0.001	1.196	SUBJ	0.502	58.3 (50.2)
8403	probably,	Sarcasm.notsarcasm	48.0	2116.0	28.0	0.583	1.164	0.001	1.197	Sarcasm	0.501	58.3 (50.1)
11571	increasingly,	SST-2.positive	36.0	33784.0	21.0	0.583	1.047	0.0	1.062	SST-2	0.557	58.3 (55.7)
9677	then,	MRPC.paraphrase	48.0	2753.0	28.0	0.583	0.864	-0.001	0.779	MRPC	0.675	58.3 (67.5)
12342	frequently,	QNLI.not_entailment	223.0	48313.0	130.0	0.583	1.165	0.0	1.198	QNLI	0.5	58.3 (50.0)
12343	sadly,	QNLI.not_entailment	175.0	48313.0	102.0	0.583	1.165	0.0	1.198	QNLI	0.5	58.3 (50.0)
9735	presently,	RTE.not_entailment	115.0	1371.0	67.0	0.583	1.176	0.004	1.209	RTE	0.496	58.3 (49.6)
5199	and	Verifiability.unverifiable	115.0	4459.0	67.0	0.583	0.829	-0.002	0.712	Verifiability	0.703	58.3 (70.3)
10474	supposedly,	MNLI.neutral	3708.0	134009.0	2159.0	0.582	1.749	0.002	1.597	MNLI	0.333	58.2 (33.3)
54	simultaneously	PDTB.Expansion	110.0	7633.0	64.0	0.582	1.431	0.001	1.419	PDTB	0.234	58.2 (23.4)
11573	firstly,	SST-2.positive	93.0	33784.0	54.0	0.581	1.042	0.0	1.056	SST-2	0.557	58.1 (55.7)
6917	slowly,	EmoBankArousal.low	124.0	3169.0	72.0	0.581	1.128	0.001	1.157	EmoBankA	0.515	58.1 (51.5)
8404	absolutely,	Sarcasm.notsarcasm	162.0	2116.0	94.0	0.58	1.158	0.003	1.189	Sarcasm	0.501	58.0 (50.1)
11518	because_of_that	SST-2.negative	505.0	26831.0	293.0	0.58	1.311	0.001	1.328	SST-2	0.443	58.0 (44.3)
11519	then,	SST-2.negative	150.0	26831.0	87.0	0.58	1.31	0.0	1.327	SST-2	0.443	58.0 (44.3)
3453	by_then	SwitchBoard.Statement-non-opinion	50.0	3167.0	29.0	0.58	3.854	0.001	2.023	SwitchBoard	0.156	58.0 (15.6)
12344	surely,	QNLI.not_entailment	295.0	48313.0	171.0	0.58	1.158	0.0	1.188	QNLI	0.5	58.0 (50.0)
11575	surprisingly,	SST-2.positive	145.0	33784.0	84.0	0.579	1.039	0.0	1.052	SST-2	0.557	57.9 (55.7)
9	by_doing_this,	PDTB.Contingency	38.0	3808.0	22.0	0.579	2.854	0.001	1.893	PDTB	0.117	57.9 (11.7)
11520	unsurprisingly,	SST-2.negative	216.0	26831.0	125.0	0.579	1.307	0.0	1.323	SST-2	0.443	57.9 (44.3)
14169	soon,	SICKE.neutral	45.0	2818.0	26.0	0.578	1.025	0.0	1.034	SICKE	0.564	57.8 (56.4)
12345	basically,	QNLI.not_entailment	45.0	48313.0	26.0	0.578	1.154	0.0	1.183	QNLI	0.5	57.8 (50.0)
12346	later,	QNLI.not_entailment	1563.0	48313.0	903.0	0.578	1.154	0.001	1.183	QNLI	0.5	57.8 (50.0)
12192	particularly,	QQP.not-duplicate	18084.0	206126.0	10446.0	0.578	0.916	-0.003	0.875	QQP	0.631	57.8 (63.1)
10439	ironically,	Cola.well-formed	71.0	6744.0	41.0	0.577	0.822	-0.001	0.703	Cola	0.703	57.7 (70.3)
12347	interestingly,	QNLI.not_entailment	2212.0	48313.0	1277.0	0.577	1.154	0.002	1.182	QNLI	0.5	57.7 (50.0)
11576	ideally,	SST-2.positive	59.0	33784.0	34.0	0.576	1.034	0.0	1.045	SST-2	0.557	57.6 (55.7)
12193	specifically,	QQP.not-duplicate	34942.0	206126.0	20134.0	0.576	0.914	-0.006	0.872	QQP	0.631	57.6 (63.1)
11577	so,	SST-2.positive	151.0	33784.0	87.0	0.576	1.034	0.0	1.044	SST-2	0.557	57.6 (55.7)
3452	also,	SwitchBoard.Yes-No-Question	368.0	2932.0	212.0	0.576	4.135	0.008	2.03	SwitchBoard	0.145	57.6 (14.5)
12348	nationally,	QNLI.entailment	1452.0	48224.0	836.0	0.576	1.153	0.001	1.18	QNLI	0.5	57.6 (50.0)
14171	likewise,	SICKE.neutral	99.0	2818.0	57.0	0.576	1.022	0.0	1.029	SICKE	0.564	57.6 (56.4)
9740	currently,	RTE.entailment	73.0	1395.0	42.0	0.575	1.141	0.002	1.168	RTE	0.504	57.5 (50.4)
12350	realistically,	QNLI.not_entailment	73.0	48313.0	42.0	0.575	1.15	0.0	1.176	QNLI	0.5	57.5 (50.0)
12349	technically,	QNLI.entailment	2464.0	48224.0	1417.0	0.575	1.151	0.002	1.178	QNLI	0.5	57.5 (50.0)
5201	mostly,	Verifiability.unverifiable	40.0	4459.0	23.0	0.575	0.818	-0.001	0.7	Verifiability	0.703	57.5 (70.3)
14376	basically,	SUBJ.objective	47.0	4485.0	27.0	0.574	1.153	0.0	1.179	SUBJ	0.498	57.4 (49.8)
12194	seriously,	QQP.not-duplicate	9808.0	206126.0	5633.0	0.574	0.911	-0.002	0.868	QQP	0.631	57.4 (63.1)
10475	however	MNLI.contradiction	6239.0	134101.0	3578.0	0.573	1.721	0.004	1.563	MNLI	0.333	57.3 (33.3)
